Interrupt Source (1),XC32 Vector Name,IRQ #,Vector #,Flag,Interrupt Enable,Priority Bit Location,Sub-priority Bit Location,Persistent Interrupt
Input Capture 4 Error,INPUT_CAPTURE_4_ERROR_VECTOR,20,OFF020<17:1>,IFS0<20>,IEC0<20>,IPC5<4:2>,IPC5<1:0>,Yes
Input Capture 4,INPUT_CAPTURE_4_VECTOR,21,OFF021<17:1>,IFS0<21>,IEC0<21>,IPC5<12:10>,IPC5<9:8>,Yes
Output Compare 4,OUTPUT_COMPARE_4_VECTOR,22,OFF022<17:1>,IFS0<22>,IEC0<22>,IPC5<20:18>,IPC5<17:16>,No
External Interrupt 4,EXTERNAL_4_VECTOR,23,OFF023<17:1>,IFS0<23>,IEC0<23>,IPC5<28:26>,IPC5<25:24>,No
Timer5,TIMER_5_VECTOR,24,OFF024<17:1>,IFS0<24>,IEC0<24>,IPC6<4:2>,IPC6<1:0>,No
Input Capture 5 Error,INPUT_CAPTURE_5_ERROR_VECTOR,25,OFF025<17:1>,IFS0<25>,IEC0<25>,IPC6<12:10>,IPC6<9:8>,Yes
Input Capture 5,INPUT_CAPTURE_5_VECTOR,26,OFF026<17:1>,IFS0<26>,IEC0<26>,IPC6<20:18>,IPC6<17:16>,Yes
Output Compare 5,OUTPUT_COMPARE_5_VECTOR,27,OFF027<17:1>,IFS0<27>,IEC0<27>,IPC6<28:26>,IPC6<25:24>,No
Reserved,—,28,—,—,—,—,—,—
Reserved,—,29,—,—,—,—,—,—
Real Time Clock,RTCC_VECTOR,30,OFF030<17:1>,IFS0<30>,IEC0<30>,IPC7<20:18>,IPC7<17:16>,Yes
Flash Control Event,FLASH_CONTROL_VECTOR,31,OFF031<17:1>,IFS0<31>,IEC0<31>,IPC7<28:26>,IPC7<25:24>,No
Comparator 1 Interrupt,COMPARATOR_1_VECTOR,32,OFF032<17:1>,IFS1<0>,IEC1<0>,IPC8<4:2>,IPC8<1:0>,No
Comparator 2 Interrupt,COMPARATOR_2_VECTOR,33,OFF033<17:1>,IFS1<1>,IEC1<1>,IPC8<12:10>,IPC8<9:8>,No
USB1 Interrupts,USB1_VECTOR,34,OFF034<17:1>,IFS1<2>,IEC1<2>,IPC8<20:18>,IPC8<17:16>,Yes
SPI1 Fault,SPI1_FAULT_VECTOR,35,OFF035<17:1>,IFS1<3>,IEC1<3>,IPC8<28:26>,IPC8<25:24>,Yes
SPI1 Receive Done,SPI1_RX_VECTOR,36,OFF036<17:1>,IFS1<4>,IEC1<4>,IPC9<4:2>,IPC9<1:0>,Yes
SPI1 Transfer Done,SPI1_TX_VECTOR,37,OFF037<17:1>,IFS1<5>,IEC1<5>,IPC9<12:10>,IPC9<9:8>,Yes
UART1 Fault,UART1_FAULT_VECTOR,38,OFF038<17:1>,IFS1<6>,IEC1<6>,IPC9<20:18>,IPC9<17:16>,Yes
UART1 Receive Done,UART1_RX_VECTOR,39,OFF039<17:1>,IFS1<7>,IEC1<7>,IPC9<28:26>,IPC9<25:24>,Yes
UART1 Transfer Done,UART1_TX_VECTOR,40,OFF040<17:1>,IFS1<8>,IEC1<8>,IPC10<4:2>,IPC10<1:0>,Yes
I2C1 Bus Collision Event,I2C1_BUS_VECTOR,41,OFF041<17:1>,IFS1<9>,IEC1<9>,IPC9<12:10>,IPC9<9:8>,Yes
I2C1 Client Event,I2C1_SLAVE_VECTOR,42,OFF042<17:1>,IFS1<10>,IEC1<10>,IPC9<20:18>,IPC9<17:16>,Yes
I2C1 Host Event,I2C1_MASTER_VECTOR,43,OFF043<17:1>,IFS1<11>,IEC1<11>,IPC10<28:26>,IPC10<25:24>,No
PORTA Change,CHANGE_NOTICE_A_VECTOR,44,OFF044<17:1>,IFS1<12>,IEC1<12>,IPC11<4:2>,IPC11<1:0>,Yes
PORTB Change,CHANGE_NOTICE_B_VECTOR,45,OFF045<17:1>,IFS1<13>,IEC1<13>,IPC11<12:10>,IPC11<9:8>,Yes
PORTC Change,CHANGE_NOTICE_C_VECTOR,46,OFF046<17:1>,IFS1<14>,IEC1<14>,IPC11<20:18>,IPC11<17:16>,Yes
PORTD Change,CHANGE_NOTICE_D_VECTOR,47,OFF047<17:1>,IFS1<15>,IEC1<15>,IPC11<28:26>,IPC11<25:24>,Yes
PORTE Change,CHANGE_NOTICE_E_VECTOR,48,OFF048<17:1>,IFS1<16>,IEC1<16>,IPC12<4:2>,IPC12<1:0>,Yes
PORTF Change,CHANGE_NOTICE_F_VECTOR,49,OFF049<17:1>,IFS1<17>,IEC1<17>,IPC12<12:10>,IPC12<9:8>,Yes
PORTG Change,CHANGE_NOTICE_G_VECTOR,50,OFF050<17:1>,IFS1<18>,IEC1<18>,IPC12<20:18>,IPC12<17:16>,Yes
Parallel Master Port,PMP_VECTOR,51,OFF051<17:1>,IFS1<19>,IEC1<19>,IPC12<28:26>,IPC12<25:24>,Yes
PMP Error,PMP_ERROR_VECTOR,52,OFF052<17:1>,IFS1<20>,IEC1<20>,IPC13<4:2>,IPC13<1:0>,Yes
SPI2 Fault,SPI2_FAULT_VECTOR,53,OFF053<17:1>,IFS1<21>,IEC1<21>,IPC13<12:10>,IPC13<9:8>,Yes
SPI2 Receive Done,SPI2_RX_VECTOR,54,OFF054<17:1>,IFS1<22>,IEC1<22>,IPC13<20:18>,IPC13<17:16>,Yes
SPI2 Transfer Done,SPI2_TX_VECTOR,55,OFF055<17:1>,IFS1<23>,IEC1<23>,IPC13<28:26>,IPC13<25:24>,Yes
UART2 Fault,UART2_FAULT_VECTOR,56,OFF056<17:1>,IFS1<24>,IEC1<24>,IPC14<4:2>,IPC14<1:0>,Yes
UART2 Receive Done,UART2_RX_VECTOR,57,OFF057<17:1>,IFS1<25>,IEC1<25>,IPC14<12:10>,IPC14<9:8>,Yes
UART2 Transfer Done,UART2_TX_VECTOR,58,OFF058<17:1>,IFS1<26>,IEC1<26>,IPC14<20:18>,IPC14<17:16>,Yes
I2C2 Bus Collision,I2C2_BUS_VECTOR,59,OFF059<17:1>,IFS1<27>,IEC1<27>,IPC14<28:26>,IPC14<25:24>,Yes
I2C2 Client Event,I2C2_SLAVE_VECTOR,60,OFF060<17:1>,IFS1<28>,IEC1<28>,IPC15<4:2>,IPC15<1:0>,Yes
I2C2 Host Event,I2C2_MASTER_VECTOR,61,OFF061<17:1>,IFS1<29>,IEC1<29>,IPC15<12:10>,IPC15<9:8>,Yes
UART3 Fault,UART3_FAULT_VECTOR,62,OFF062<17:1>,IFS1<30>,IEC1<30>,IPC15<20:18>,IPC15<17:16>,Yes
UART3 Receive Done,UART3_RX_VECTOR,63,OFF063<17:1>,IFS1<31>,IEC1<31>,IPC15<28:26>,IPC15<25:24>,Yes
UART3 Transfer Done,UART3_TX_VECTOR,64,OFF064<17:1>,IFS2<0>,IEC2<0>,IPC16<4:2>,IPC16<1:0>,Yes
UART4 Fault,UART4_FAULT_VECTOR,65,OFF065<17:1>,IFS2<1>,IEC2<1>,IPC16<12:10>,IPC16<9:8>,Yes
UART4 Receive Done,UART4_RX_VECTOR,66,OFF066<17:1>,IFS2<2>,IEC2<2>,IPC16<20:18>,IPC16<17:16>,Yes
UART4 Transfer Done,UART4_TX_VECTOR,67,OFF067<17:1>,IFS2<3>,IEC2<3>,IPC16<28:26>,IPC16<25:24>,Yes
UART5 Fault,UART5_FAULT_VECTOR,68,OFF068<17:1>,IFS2<4>,IEC2<4>,IPC17<4:2>,IPC17<1:0>,Yes
UART5 Receive Done,UART5_RX_VECTOR,69,OFF069<17:1>,IFS2<5>,IEC2<5>,IPC17<12:10>,IPC17<9:8>,Yes
UART5 Transfer Done,UART5_TX_VECTOR,70,OFF070<17:1>,IFS2<6>,IEC2<6>,IPC17<20:18>,IPC17<17:16>,Yes
CTMU Interrupt,CTMU_VECTOR,71,OFF071<17:1>,IFS2<7>,IEC2<7>,IPC17<28:26>,IPC17<25:24>,Yes
DMA Channel 0,DMA0_VECTOR,72,OFF072<17:1>,IFS2<8>,IEC2<8>,IPC18<4:2>,IPC18<1:0>,Yes
DMA Channel 1,DMA1_VECTOR,73,OFF073<17:1>,IFS2<9>,IEC2<9>,IPC18<12:10>,IPC18<9:8>,Yes
DMA Channel 2,DMA2_VECTOR,74,OFF074<17:1>,IFS2<10>,IEC2<10>,IPC18<20:18>,IPC18<17:16>,Yes
DMA Channel 3,DMA3_VECTOR,75,OFF075<17:1>,IFS2<11>,IEC2<11>,IPC18<28:26>,IPC18<25:24>,Yes
Timer6,TIMER_6_VECTOR,76,OFF076<17:1>,IFS2<12>,IEC2<12>,IPC19<4:2>,IPC19<1:0>,Yes
Input Capture 6 Error,INPUT_CAPTURE_6_ERROR_VECTOR,77,OFF077<17:1>,IFS2<13>,IEC2<13>,IPC19<12:10>,IPC19<9:8>,Yes
Input Capture 6,INPUT_CAPTURE_6_VECTOR,78,OFF078<17:1>,IFS2<14>,IEC2<14>,IPC19<20:18>,IPC19<17:16>,Yes
Output Compare 6,OUTPUT_COMPARE_6_VECTOR,79,OFF079<17:1>,IFS2<15>,IEC2<15>,IPC19<28:26>,IPC19<25:24>,Yes
Timer7,TIMER_7_VECTOR,80,OFF080<17:1>,IFS2<16>,IEC2<16>,IPC20<4:2>,IPC20<1:0>,Yes
Input Capture 7 Error,INPUT_CAPTURE_7_ERROR_VECTOR,81,OFF081<17:1>,IFS2<17>,IEC2<17>,IPC20<12:10>,IPC20<9:8>,Yes
Input Capture 7,INPUT_CAPTURE_7_VECTOR,82,OFF082<17:1>,IFS2<18>,IEC2<18>,IPC20<20:18>,IPC20<17:16>,Yes
Output Compare 7,OUTPUT_COMPARE_7_VECTOR,83,OFF083<17:1>,IFS2<19>,IEC2<19>,IPC20<28:26>,IPC20<25:24>,Yes
Timer8,TIMER_8_VECTOR,84,OFF084<17:1>,IFS2<20>,IEC2<20>,IPC21<4:2>,IPC21<1:0>,Yes
Input Capture 8 Error,INPUT_CAPTURE_8_ERROR_VECTOR,85,OFF085<17:1>,IFS2<21>,IEC2<21>,IPC21<12:10>,IPC21<9:8>,Yes
Input Capture 8,INPUT_CAPTURE_8_VECTOR,86,OFF086<17:1>,IFS2<22>,IEC2<22>,IPC21<20:18>,IPC21<17:16>,Yes
Output Compare 8,OUTPUT_COMPARE_8_VECTOR,87,OFF087<17:1>,IFS2<23>,IEC2<23>,IPC21<28:26>,IPC21<25:24>,Yes
Timer9,TIMER_9_VECTOR,88,OFF088<17:1>,IFS2<24>,IEC2<24>,IPC22<4:2>,IPC22<1:0>,Yes
Input Capture 9 Error,INPUT_CAPTURE_9_ERROR_VECTOR,89,OFF089<17:1>,IFS2<25>,IEC2<25>,IPC22<12:10>,IPC22<9:8>,Yes
Input Capture 9,INPUT_CAPTURE_9_VECTOR,90,OFF090<17:1>,IFS2<26>,IEC2<26>,IPC22<20:18>,IPC22<17:16>,Yes
Output Compare 9,OUTPUT_COMPARE_9_VECTOR,91,OFF091<17:1>,IFS2<27>,IEC2<27>,IPC22<28:26>,IPC22<25:24>,Yes
ADC Global Interrupt,ADC_VECTOR,92,OFF092<17:1>,IFS2<28>,IEC2<28>,IPC23<4:2>,IPC23<1:0>,Yes
Reserved,—,93,—,—,—,—,—,—
ADC Dig. Comp. 1,ADC_DC1_VECTOR,94,OFF094<17:1>,IFS2<30>,IEC2<30>,IPC23<20:18>,IPC23<17:16>,Yes
ADC Dig. Comp. 2,ADC_DC2_VECTOR,95,OFF095<17:1>,IFS2<31>,IEC2<31>,IPC23<28:26>,IPC23<25:24>,Yes
ADC Dig. Filter 1,ADC_DF1_VECTOR,96,OFF096<17:1>,IFS3<0>,IEC3<0>,IPC24<4:2>,IPC24<1:0>,Yes
ADC Dig. Filter 2,ADC_DF2_VECTOR,97,OFF097<17:1>,IFS3<1>,IEC3<1>,IPC24<12:10>,IPC24<9:8>,Yes
ADC Dig. Filter 3,ADC_DF3_VECTOR,98,OFF098<17:1>,IFS3<2>,IEC3<2>,IPC24<20:18>,IPC24<17:16>,Yes
ADC Dig. Filter 4,ADC_DF4_VECTOR,99,OFF099<17:1>,IFS3<3>,IEC3<3>,IPC24<28:26>,IPC24<25:24>,Yes
ADC Fault,ADC_FAULT_VECTOR,100,OFF100<17:1>,IFS3<4>,IEC3<4>,IPC25<4:2>,IPC25<1:0>,Yes
ADC End of Scan,ADC_EOS_VECTOR,101,OFF101<17:1>,IFS3<5>,IEC3<5>,IPC25<12:10>,IPC25<9:8>,Yes
ADC Ready,ADC_ARDY_VECTOR,102,OFF102<17:1>,IFS3<6>,IEC3<6>,IPC25<20:18>,IPC25<17:16>,Yes
ADC Update Ready,ADC_URDY_VECTOR,103,OFF103<17:1>,IFS3<7>,IEC3<7>,IPC25<28:26>,IPC25<25:24>,Yes
ADC DMA Interrupt,ADC_DMA_VECTOR,104,OFF104<17:1>,IFS3<8>,IEC3<8>,IPC26<4:2>,IPC26<1:0>,No
ADC Early Group,ADC_EARLY_VECTOR,105,OFF105<17:1>,IFS3<9>,IEC3<9>,IPC26<12:10>,IPC26<9:8>,Yes
ADC Data 0,ADC_DATA0_VECTOR,106,OFF106<17:1>,IFS3<10>,IEC3<10>,IPC26<20:18>,IPC26<17:16>,Yes
ADC Data 1,ADC_DATA1_VECTOR,107,OFF107<17:1>,IFS3<11>,IEC3<11>,IPC26<28:26>,IPC26<25:24>,Yes
ADC Data 2,ADC_DATA2_VECTOR,108,OFF108<17:1>,IFS3<12>,IEC3<12>,IPC27<4:2>,IPC27<1:0>,Yes
ADC Data 3,ADC_DATA3_VECTOR,109,OFF109<17:1>,IFS3<13>,IEC3<13>,IPC27<12:10>,IPC27<9:8>,Yes
ADC Data 4,ADC_DATA4_VECTOR,110,OFF110<17:1>,IFS3<14>,IEC3<14>,IPC27<20:18>,IPC27<17:16>,Yes
ADC Data 5,ADC_DATA5_VECTOR,111,OFF111<17:1>,IFS3<15>,IEC3<15>,IPC27<28:26>,IPC27<25:24>,Yes
ADC Data 6,ADC_DATA6_VECTOR,112,OFF112<17:1>,IFS3<16>,IEC3<16>,IPC28<4:2>,IPC28<1:0>,Yes
ADC Data 7,ADC_DATA7_VECTOR,113,OFF113<17:1>,IFS3<17>,IEC3<17>,IPC28<12:10>,IPC28<9:8>,Yes
ADC Data 8,ADC_DATA8_VECTOR,114,OFF114<17:1>,IFS3<18>,IEC3<18>,IPC28<20:18>,IPC28<17:16>,Yes
ADC Data 9,ADC_DATA9_VECTOR,115,OFF115<17:1>,IFS3<19>,IEC3<19>,IPC28<28:26>,IPC28<25:24>,Yes
ADC Data 10,ADC_DATA10_VECTOR,116,OFF116<17:1>,IFS3<20>,IEC3<20>,IPC29<4:2>,IPC29<1:0>,Yes
ADC Data 11,ADC_DATA11_VECTOR,117,OFF117<17:1>,IFS3<21>,IEC3<21>,IPC29<12:10>,IPC29<9:8>,Yes
ADC Data 12,ADC_DATA12_VECTOR,118,OFF118<17:1>,IFS3<22>,IEC3<22>,IPC29<20:18>,IPC29<17:16>,Yes
ADC Data 13,ADC_DATA13_VECTOR,119,OFF119<17:1>,IFS3<23>,IEC3<23>,IPC29<28:26>,IPC29<25:24>,Yes
ADC Data 14,ADC_DATA14_VECTOR,120,OFF120<17:1>,IFS3<24>,IEC3<24>,IPC30<4:2>,IPC30<1:0>,Yes
ADC Data 15,ADC_DATA15_VECTOR,121,OFF121<17:1>,IFS3<25>,IEC3<25>,IPC30<12:10>,IPC30<9:8>,Yes
ADC Data 16,ADC_DATA16_VECTOR,122,OFF122<17:1>,IFS3<26>,IEC3<26>,IPC30<20:18>,IPC30<17:16>,Yes
ADC Data 17,ADC_DATA17_VECTOR,123,OFF123<17:1>,IFS3<27>,IEC3<27>,IPC30<28:26>,IPC30<25:24>,Yes
ADC Data 18,ADC_DATA18_VECTOR,124,OFF124<17:1>,IFS3<28>,IEC3<28>,IPC31<4:2>,IPC31<1:0>,Yes
ADC Data 19,ADC_DATA19_VECTOR,125,OFF125<17:1>,IFS3<29>,IEC3<29>,IPC31<12:10>,IPC31<9:8>,Yes
ADC Data 20,ADC_DATA20_VECTOR,126,OFF126<17:1>,IFS3<30>,IEC3<30>,IPC31<20:18>,IPC31<17:16>,Yes
ADC Data 21,ADC_DATA21_VECTOR,127,OFF127<17:1>,IFS3<31>,IEC3<31>,IPC31<28:26>,IPC31<25:24>,Yes
ADC Data 22,ADC_DATA22_VECTOR,128,OFF128<17:1>,IFS4<0>,IEC4<0>,IPC32<4:2>,IPC32<1:0>,Yes
ADC Data 23,ADC_DATA23_VECTOR,129,OFF129<17:1>,IFS4<1>,IEC4<1>,IPC32<12:10>,IPC32<9:8>,Yes
ADC Data 24,ADC_DATA24_VECTOR,130,OFF130<17:1>,IFS4<2>,IEC4<2>,IPC32<20:18>,IPC32<17:16>,Yes
ADC Data 25,ADC_DATA25_VECTOR,131,OFF131<17:1>,IFS4<3>,IEC4<3>,IPC32<28:26>,IPC32<25:24>,Yes
ADC Data 26,ADC_DATA26_VECTOR,132,OFF132<17:1>,IFS4<4>,IEC4<4>,IPC33<4:2>,IPC33<1:0>,Yes
ADC Data 27,ADC_DATA27_VECTOR,133,OFF133<17:1>,IFS4<5>,IEC4<5>,IPC33<12:10>,IPC33<9:8>,Yes
Reserved,—,134,—,—,—,—,—,—
Reserved,—,135,—,—,—,—,—,—
Reserved,—,136,—,—,—,—,—,—
Reserved,—,137,—,—,—,—,—,—
Reserved,—,138,—,—,—,—,—,—
ADC Data 33,ADC_DATA33_VECTOR,139,OFF139<17:1>,IFS4<11>,IEC4<11>,IPC34<28:26>,IPC34<25:24>,Yes
ADC Data 34,ADC_DATA34_VECTOR,140,OFF140<17:1>,IFS4<12>,IEC4<12>,IPC35<4:2>,IPC35<1:0>,Yes
ADC Data 35,ADC_DATA35_VECTOR,141,OFF141<17:1>,IFS4<13>,IEC4<13>,IPC35<12:10>,IPC35<9:8>,Yes
ADC Data 36,ADC_DATA36_VECTOR,142,OFF142<17:1>,IFS4<14>,IEC4<14>,IPC35<20:18>,IPC35<17:16>,Yes
ADC Data 37,ADC_DATA37_VECTOR,143,OFF143<17:1>,IFS4<15>,IEC4<15>,IPC35<28:26>,IPC35<25:24>,Yes
ADC Data 38,ADC_DATA38_VECTOR,144,OFF144<17:1>,IFS4<16>,IEC4<16>,IPC36<4:2>,IPC36<1:0>,Yes
ADC Data 40,ADC_DATA40_VECTOR,145,OFF145<17:1>,IFS4<17>,IEC4<17>,IPC36<12:10>,IPC36<9:8>,Yes
ADC Data 41,ADC_DATA41_VECTOR,146,OFF146<17:1>,IFS4<18>,IEC4<18>,IPC36<20:18>,IPC36<17:16>,Yes
ADC Data 42,ADC_DATA42_VECTOR,147,OFF147<17:1>,IFS4<19>,IEC4<19>,IPC36<28:26>,IPC36<25:24>,Yes
ADC Data 43,ADC_DATA43_VECTOR,148,OFF148<17:1>,IFS4<20>,IEC4<20>,IPC37<4:2>,IPC37<1:0>,Yes
ADC Data 44,ADC_DATA44_VECTOR,149,OFF149<17:1>,IFS4<21>,IEC4<21>,IPC37<12:10>,IPC37<9:8>,Yes
CAN1 Combined Interrupt,CAN1_VECTOR,150,OFF150<17:1>,IFS4<22>,IEC4<22>,IPC37<20:18>,IPC37<17:16>,Yes
CAN2 Combined Interrupt,CAN2_VECTOR,151,OFF151<17:1>,IFS4<23>,IEC4<23>,IPC37<28:26>,IPC37<25:24>,Yes
CAN3 Combined Interrupt,CAN3_VECTOR,152,OFF152<17:1>,IFS4<24>,IEC4<24>,IPC38<4:2>,IPC38<1:0>,Yes
CAN4 Combined Interrupt,CAN4_VECTOR,153,OFF153<17:1>,IFS4<25>,IEC4<25>,IPC38<12:10>,IPC38<9:8>,Yes
SPI3 Fault,SPI3_FAULT_VECTOR,154,OFF154<17:1>,IFS4<26>,IEC4<26>,IPC38<20:18>,IPC38<17:16>,Yes
SPI3 Receive Done,SPI3_RX_VECTOR,155,OFF155<17:1>,IFS4<27>,IEC4<27>,IPC38<28:26>,IPC38<25:24>,Yes
SPI3 Transfer Done,SPI3_TX_VECTOR,156,OFF156<17:1>,IFS4<28>,IEC4<28>,IPC39<4:2>,IPC39<1:0>,Yes
UART6 Fault,UART6_FAULT_VECTOR,157,OFF157<17:1>,IFS4<29>,IEC4<29>,IPC39<12:10>,IPC39<9:8>,Yes
UART6 Receive Done,UART6_RX_VECTOR,158,OFF158<17:1>,IFS4<30>,IEC4<30>,IPC39<20:18>,IPC39<17:16>,Yes
UART6 Transfer Done,UART6_TX_VECTOR,159,OFF159<17:1>,IFS4<31>,IEC4<31>,IPC39<28:26>,IPC39<25:24>,Yes
I2C3 Bus Collision,I2C3_BUS_VECTOR,160,OFF160<17:1>,IFS5<0>,IEC5<0>,IPC40<4:2>,IPC40<1:0>,Yes
I2C3 Client Event,I2C3_SLAVE_VECTOR,161,OFF161<17:1>,IFS5<1>,IEC5<1>,IPC40<12:10>,IPC40<9:8>,Yes
I2C3 Host Event,I2C3_MASTER_VECTOR,162,OFF162<17:1>,IFS5<2>,IEC5<2>,IPC40<20:18>,IPC40<17:16>,Yes
I2C4 Bus Collision,I2C4_BUS_VECTOR,163,OFF163<17:1>,IFS5<3>,IEC5<3>,IPC40<28:26>,IPC40<25:24>,Yes
I2C4 Client Event,I2C4_SLAVE_VECTOR,164,OFF164<17:1>,IFS5<4>,IEC5<4>,IPC41<4:2>,IPC41<1:0>,Yes
I2C4 Host Event,I2C4_MASTER_VECTOR,165,OFF165<17:1>,IFS5<5>,IEC5<5>,IPC41<12:10>,IPC41<9:8>,Yes
SPI4 Fault,SPI4_FAULT_VECTOR,166,OFF166<17:1>,IFS5<6>,IEC5<6>,IPC41<20:18>,IPC41<17:16>,Yes
SPI4 Receive Done,SPI4_RX_VECTOR,167,OFF167<17:1>,IFS5<7>,IEC5<7>,IPC41<28:26>,IPC41<25:24>,Yes
SPI4 Transfer Done,SPI4_TX_VECTOR,168,OFF168<17:1>,IFS5<8>,IEC5<8>,IPC42<4:2>,IPC42<1:0>,Yes
SPI5 Fault,SPI5_FAULT_VECTOR,169,OFF169<17:1>,IFS5<9>,IEC5<9>,IPC42<12:10>,IPC42<9:8>,Yes
SPI5 Receive Done,SPI5_RX_VECTOR,170,OFF170<17:1>,IFS5<10>,IEC5<10>,IPC42<20:18>,IPC42<17:16>,Yes
SPI5 Transfer Done,SPI5_TX_VECTOR,171,OFF171<17:1>,IFS5<11>,IEC5<11>,IPC42<28:26>,IPC42<25:24>,Yes
SPI6 Fault,SPI6_FAULT_VECTOR,172,OFF172<17:1>,IFS5<12>,IEC5<12>,IPC43<4:2>,IPC43<1:0>,Yes
SPI6 Receive Done,SPI6_RX_VECTOR,173,OFF173<17:1>,IFS5<13>,IEC5<13>,IPC43<12:10>,IPC43<9:8>,Yes
SPI6 Transfer Done,SPI6_TX_VECTOR,174,OFF174<17:1>,IFS5<14>,IEC5<14>,IPC43<20:18>,IPC43<17:16>,Yes
RTCC Alarm,RTCC_ALARM_VECTOR,175,OFF175<17:1>,IFS5<15>,IEC5<15>,IPC43<28:26>,IPC43<25:24>,Yes
Core Performance Counter,PERFORMANCE_COUNTER_VECTOR,176,OFF176<17:1>,IFS5<16>,IEC5<16>,IPC44<4:2>,IPC44<1:0>,No
Change Notice H,CHANGE_NOTICE_H_VECTOR,177,OFF177<17:1>,IFS5<17>,IEC5<17>,IPC44<12:10>,IPC44<9:8>,Yes
Change Notice J,CHANGE_NOTICE_J_VECTOR,178,OFF178<17:1>,IFS5<18>,IEC5<18>,IPC44<20:18>,IPC44<17:16>,Yes
Change Notice K,CHANGE_NOTICE_K_VECTOR,179,OFF179<17:1>,IFS5<19>,IEC5<19>,IPC44<28:26>,IPC44<25:24>,Yes
QEI1,QEI1_VECTOR,180,OFF180<17:1>,IFS5<20>,IEC5<20>,IPC45<4:2>,IPC45<1:0>,Yes
QEI2,QEI2_VECTOR,181,OFF181<17:1>,IFS5<21>,IEC5<21>,IPC45<12:10>,IPC45<9:8>,Yes
QEI3,QEI3_VECTOR,182,OFF182<17:1>,IFS5<22>,IEC5<22>,IPC45<20:18>,IPC45<17:16>,Yes
QEI4,QEI4_VECTOR,183,OFF183<17:1>,IFS5<23>,IEC5<23>,IPC45<28:26>,IPC45<25:24>,Yes
QEI5,QEI5_VECTOR,184,OFF184<17:1>,IFS5<24>,IEC5<24>,IPC46<4:2>,IPC46<1:0>,Yes
QEI6,QEI6_VECTOR,185,OFF185<17:1>,IFS5<25>,IEC5<25>,IPC46<12:10>,IPC46<9:8>,Yes
